name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
EPIC 206032309 b,526.0,17.89,Super Earth,2019,1.01,Earth,1.01,Earth,,0.007939767,0.0,Transit
EPIC 206042996 b,1474.0,16.59,Super Earth,2019,3.53,Earth,1.7,Earth,,0.01451061,0.0,Transit
EPIC 206042996 c,1474.0,16.59,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0010951404,0.0,Transit
EPIC 206215704 b,358.0,17.83,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0062970566,0.0,Transit
EPIC 206317286 b,1025.0,14.005,Terrestrial,2019,0.84,Earth,0.96,Earth,,0.0043805614,0.0,Transit
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,5.03,Earth,2.094,Earth,,0.04791239,0.0,Transit
EPIC 211822797 b,607.0,15.133,Super Earth,2016,4.35,Earth,1.92,Earth,0.1195,0.05804244,0.06,Transit
EPIC 211945201 b,593.0,10.154,Neptune-like,2018,27.0,Earth,0.514,Jupiter,0.1493,0.05338809,0.0,Transit
EPIC 212297394 b,1365.0,14.611,Super Earth,2019,2.79,Earth,1.48,Earth,,0.0062970566,0.0,Transit
EPIC 212297394 c,1365.0,14.611,Neptune-like,2016,5.77,Earth,0.203,Jupiter,,0.014236824,0.0,Transit
EPIC 212424622 b,1996.0,13.441,Neptune-like,2019,5.35,Earth,2.17,Earth,,0.0495551,0.0,Transit
EPIC 212499991 b,924.0,13.672,Super Earth,2019,3.19,Earth,1.6,Earth,,0.095551,0.0,Transit
EPIC 212587672 b,1044.0,12.488,Super Earth,2019,2.13,Earth,1.26,Earth,,0.041889116,0.0,Transit
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,5.99,Earth,0.207,Jupiter,,0.06351814,0.0,Transit
EPIC 212624936 b,1833.0,13.976,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0016427105,0.0,Transit
EPIC 212624936 c,1833.0,13.976,Neptune-like,2021,5.9,Earth,0.205,Jupiter,,0.03230664,0.0,Transit
EPIC 212737443 b,1097.0,14.81,Neptune-like,2019,7.2,Earth,0.231,Jupiter,0.098,0.037234772,0.2,Transit
EPIC 212737443 c,1097.0,14.81,Neptune-like,2019,7.7,Earth,0.24,Jupiter,0.28,0.17960301,0.2,Transit
EPIC 220492298 b,2037.0,13.991,Terrestrial,2021,0.937,Earth,0.99,Earth,,0.0021902807,0.0,Transit
EPIC 220554210 c,1619.0,14.21,Super Earth,2019,3.19,Earth,1.6,Earth,,0.0019164955,0.0,Transit
EPIC 220674823 b,798.0,12.101,Super Earth,2016,7.72,Earth,1.6,Earth,0.01312,0.0016427105,0.0,Transit
EPIC 220674823 c,798.0,12.101,Neptune-like,2016,5.8,Earth,2.2,Earth,0.1091,0.036413416,0.18,Transit
EPIC 228836835 b,490.0,16.77,Super Earth,2021,1.37,Earth,1.1,Earth,,0.0019164955,0.0,Transit
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,3.0,Jupiter,1.051,Jupiter,0.07229,0.016974675,0.0,Transit
EPIC 248847494 b,1800.0,12.353,Gas Giant,2018,13.0,Jupiter,1.11,Jupiter,4.5,10.0,0.0,Transit
